Article_Title,Article_Link,Date,Topic
Shabaab terrorists kill six in dawn attack in Lamu,https://nation.africa/kenya/news/suspected-shabaab-terrorists-kill-six-in-dawn-attack-in-lamu-3670658,1/3/2022,Terrorism
Njonjo’s wish for a simple funeral,https://nation.africa/kenya/news/charles-njonjo-s-wish-for-a-simple-funeral-3670464,1/3/2022,Terrorism
"Njonjo, Kenyatta insider who made and destroyed careers",https://nation.africa/kenya/news/charles-njonjo-jomo-kenyatta-insider-who-made-and-destroyed-careers-3670432,1/3/2022,Terrorism
Mysterious South Nyanza gang that kills cattle but steals nothing,https://nation.africa/kenya/counties/homa-bay/mysterious-south-nyanza-gang-that-kills-cattle-but-steals-nothing-3668686,1/3/2022,Terrorism
Policeman found with bhang arrested in Isiolo,https://nation.africa/kenya/counties/isiolo/policeman-found-with-bhang-arrested-in-isiolo-3668658,1/3/2022,Drug-Trafficking
Kaltum Guyo: Who’re the kidnappers? Police?,https://nation.africa/kenya/blogs-opinion/opinion/who-re-the-kidnappers-police--3670494,1/3/2022,Terrorism
Memorial service held for the late Rev. Matolo,https://www.kenyanews.go.ke/memorial-service-held-for-the-late-rev-matolo/,1/3/2022,Terrorism
Six killed in al-Shabaab dawn attack on Lamu village,https://www.the-star.co.ke/news/2022-01-03-six-killed-in-al-shabaab-dawn-attack-on-lamu-village/,1/3/2022,Terrorism
Dutch national arrested in Nairobi for human trafficking,https://www.the-star.co.ke/news/2022-01-03-dutch-national-arrested-in-nairobi-deported-to-netherlands-for-human-trafficking/,1/3/2022,Smuggling
Remembering Gen Qassim Soleimani,https://www.the-star.co.ke/opinion/2022-01-03-remembering-gen-qassim-soleimani/,1/3/2022,Terrorism
Security on high alert over terror attacks ...,https://www.the-star.co.ke/counties/nairobi/2022-01-02-security-on-high-alert-over-terror-attacks-in-jinxed-january/,1/3/2022,Terrorism
Lamu: Suspected Al-Shabaab militants' relatives warned,https://www.the-star.co.ke/counties/coast/2022-01-03-lamu-suspected-al-shabaab-militants-relatives-warned-after-attack/,1/3/2022,Terrorism
Suspected Al-Shabaab militants kill six people in Lamu ,https://www.standardmedia.co.ke/coast/article/2001433331/suspected-al-shabaab-militants-kill-six-people-in-lamu,1/3/2022,Terrorism
 Kenya arrests wanted human trafficking suspect John Habeta ,https://www.standardmedia.co.ke/africa/article/2001433333/kenya-arrests-wanted-human-trafficking-suspect-john-habeta,1/3/2022,Trafficking
Wanted Foreigner Nabbed in Kenya After Sting Operation,https://www.kenyans.co.ke/news/71972-wanted-foreigner-nabbed-kenya-after-sting-operation,1/3/2022,Trafficking
6 People Killed in Al Shabaab Attack,https://www.kenyans.co.ke/news/71971-6-dead-following-al-shabaab-attack,1/3/2022,Terrorism
 Suspected Shabaab terrorists kill six in dawn attack in Kenya,https://www.theeastafrican.co.ke/tea/news/east-africa/suspected-shabaab-terrorists-kill-six-in-dawn-attack-in-kenya-3670736,1/3/2022,Terrorism
" Somalia, AU agree to review Amisom term",https://www.theeastafrican.co.ke/tea/business/somalia-au-agree-to-review-amisom-term-3670892,1/3/2022,Terrorism
Dutch accused of smuggling people to Europe arrested in Nairobi,https://www.theeastafrican.co.ke/tea/news/east-africa/dutch-accused-of-smuggling-people-to-europe-arrested-in-nairobi-3670640,1/3/2022,Smuggling
Richard Leakey dies,https://www.theeastafrican.co.ke/tea/news/east-africa/conservationist-richard-leakey-dies-3670564,1/3/2022,Poaching
"Lamu: al-Shabaab Militants Raid Widhu Majembeni Area, Kill 6 Locals",https://www.tuko.co.ke/kenya/438891-lamu-al-shabaab-attacks-majembeni-area-kills-people/,1/3/2022,Terrorism
Thrilling Kenyan Movies that Rocked the Entertainment Scene in 2021,https://www.tuko.co.ke/people/438852-thrilling-kenyan-movies-rocked-entertainment-scene-2021/,1/3/2022,Terrorism
Wanamgambo wa Al-Shabaab Wavamia Kaunti ya Lamu na Kuua Watu 6,https://kiswahili.tuko.co.ke/kenya/438898-wanamgambo-wa-al-shabaab-wavamia-kaunti-ya-lamu-na-kuua-watu-6/,1/3/2022,Terrorism
 Kenya extradites Dutch national linked to human trafficking ,https://www.kbc.co.ke/kenya-extradites-dutch-national-linked-to-human-trafficking/,1/4/2022,Smuggling
 Six killed by suspected Al-Shabaab militants in Lamu ,https://www.kbc.co.ke/six-killed-by-suspected-al-shabaab-militants-in-lamu/,1/4/2022,Terrorism
"Inside Dr Leakey’s hunt for early man, poachers and cartels",https://nation.africa/kenya/news/the-fossil-man-inside-dr-leakey-s-search-for-early-man-and-hunt-for-poachers-and-cartels-3671360,1/4/2022,Poaching
Tension in Lamu villages after Shabaab kill six,https://nation.africa/kenya/counties/lamu/tension-in-lamu-villages-after-shabaab-kill-six-3671058,1/4/2022,Terrorism
Woman-led gang terrorising Murang'a residents,https://nation.africa/kenya/counties/muranga/woman-led-gang-terrorising-muranga-residents-3670182,1/4/2022,Drug-Trafficking
How fate intertwined Njonjo and Leakey lives together,https://www.the-star.co.ke/news/2022-01-04-how-fate-intertwined-njonjo-and-leakey-lives-together/,1/4/2022,Poaching
Lamu attacks call for quick response,https://www.the-star.co.ke/opinion/leader/2022-01-04-lamu-attacks-call-for-quick-response/,1/4/2022,Terrorism
Backup team sent to Mpeketoni after killing of six people,https://www.the-star.co.ke/news/2022-01-04-backup-team-sent-to-mpeketoni-after-killing-of-six-people/,1/4/2022,Terrorism
Crypto boom poses new challenge to financial ...,https://www.the-star.co.ke/business/markets/2021-10-04-crypto-boom-poses-new-challenge-to-financial-stabilityreport/,1/4/2022,Money-Laundering
 Conservation: Charcoal made from tree branches the future of Kenya ,https://www.kbc.co.ke/conservation-charcoal-made-from-tree-branches-the-future-of-kenya/,1/5/2022,Poaching
"JM Baraza: My heart wants the BMW 116i, my brain the Auris 2013…",https://nation.africa/kenya/life-and-style/dn2/my-heart-wants-the-bmw-116i-my-brain-the-auris-2013--3672276,1/5/2022,Terrorism
Five quizzed over Lamu Shabaab-linked killings,https://nation.africa/kenya/counties/lamu/five-quizzed-over-lamu-shabaab-linked-killings-3672258,1/5/2022,Terrorism
Police in Meru seize 25 stolen motorbikes,https://nation.africa/kenya/counties/meru/police-in-meru-seize-25-stolen-motorbikes-3671480,1/5/2022,Trafficking
 SADC heads of state set to review progress of its mission in Mozambique,https://www.theeastafrican.co.ke/tea/rest-of-africa/sadc-heads-to-review-progress-of-mission-in-mozambique-3672206,1/5/2022,Terrorism
Terror groups keep East African region on edge,https://www.theeastafrican.co.ke/tea/news/east-africa/terror-organisations-in-somalia-scale-up-attacks-3671906,1/5/2022,Terrorism
Land disputes linked to Lamu violence,https://nation.africa/kenya/counties/lamu/land-disputes-linked-to-lamu-violence-3673558,1/6/2022,Terrorism
Govt announces new dusk-to-dawn curfew for Lamu,https://nation.africa/kenya/counties/lamu/govt-announces-new-dusk-to-dawn-curfew-for-lamu-3673084,1/6/2022,Terrorism
Ex-Igembe North MP decamps from UDA,https://nation.africa/kenya/news/politics/ex-igembe-north-mp-decamps-from-uda-3673176,1/6/2022,Terrorism
Matiang'i Orders 6PM Curfew in These Areas,https://www.kenyans.co.ke/news/72037-matiangi-orders-6pm-curfew-these-areas,1/6/2022,Terrorism
Sergeant At Arms: Men and Women Who Stop MPs From Exchanging Blows in Parliament ,https://www.kenyans.co.ke/news/72031-sergeant-arms-men-and-women-tasked-ensuring-order-parliament,1/6/2022,Terrorism
Narcotics worth Sh1.5m confiscated in Murang'a,https://www.the-star.co.ke/counties/central/2022-01-05-narcotics-worth-sh15m-confiscated-in-muranga/,1/6/2022,Drug-Trafficking
"Poor Man Inherits KSh 6.8 billion Estate from Estranged Dad, Won't Have to Work for His En...",https://www.tuko.co.ke/world/europe/439028-poor-man-inherits-ksh-68-billion-estate-estranged-dad-wont-have-work-his-entire-life/,1/6/2022,Drug-Trafficking
George Floyd’s 4-Year-Old Niece Shot while Sleeping after Gunman Opens Fire on Her Home,https://www.tuko.co.ke/world/us/439099-george-floyds-4-year-niece-shot-sleeping-gunman-invades-home/,1/6/2022,Terrorism
Matiang'i Declares Night Curfew in Parts of Lamu County After Recent Attacks Left 7 Dead,https://www.tuko.co.ke/kenya/counties/439107-matiangi-declares-night-curfew-parts-lamu-county-after-recent-attacks-left-7-dead/,1/6/2022,Terrorism
 Four suspected poachers arraigned in court in Voi ,https://www.kbc.co.ke/four-suspected-poachers-arraigned-in-court-in-voi/,1/7/2022,Poaching
Police Officers Killed in Fresh Al Shabaab Attack,https://www.kenyans.co.ke/news/72088-police-officers-killed-al-shabaab-attack-lamu,1/7/2022,Terrorism
Why Security Has Been Heightened at JKIA,https://www.kenyans.co.ke/news/72083-foreigner-caught-smuggling-620m-gold-through-jkia,1/7/2022,Smuggling
"Key issues for Kenya, Africa in 2022",https://nation.africa/kenya/news/africa/key-issues-for-kenya-africa-in-2022-3674118,1/7/2022,Terrorism
"Sudi, British billionaire in another Wilson Airport drama",https://www.the-star.co.ke/news/2022-01-07-sudi-british-billionaire-in-another-wilson-airport-drama/,1/7/2022,Money-Laundering
4 police officers killed in suspected al-Shabaab attack,https://www.the-star.co.ke/news/2022-01-07-4-police-officers-killed-in-suspected-al-shabaab-attack-in-lamu-county/,1/7/2022,Terrorism
"We possess the mojo to bag the KPL title, boasts Otieno",https://www.the-star.co.ke/sports/football/2022-01-07-we-possess-the-mojo-to-bag-the-kpl-title-boasts-otieno/,1/7/2022,Terrorism
 Nigeria gets clearance to deploy fighter jets against bandits  ,https://www.theeastafrican.co.ke/tea/rest-of-africa/nigeria-gets-clearance-to-deploy-fighter-jets-against-bandits-3675054,1/7/2022,Terrorism
"Garissa University enrolment halves, struggles to pick up from attack",https://www.businessdailyafrica.com//bd/economy/garissa-university-enrolment-halves-struggles-to-pick-up-3676898,1/10/2022,Terrorism
572 Arrested During Interpol's October Operation - DCI,https://www.kenyans.co.ke/news/72134-572-arrested-during-interpol-sting-operation-kenya,1/10/2022,Trafficking
 91 Ethiopian nationals arrested in Kitengela for being in the country illegally ,https://www.kbc.co.ke/91-ethiopian-nationals-arrested-in-kitengela/,1/10/2022,Trafficking
